zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
01057,Monson,MA,MONSON WATER AND SEWER DEPT,MA1191000,4212,GW,0,0,0,0.0033,,2,83,B,42.101,-72.3196,0,,,,0,0,false,0
01060,Northampton,MA,NORTHAMPTON WATER DIVISION,MA1214000,29571,SW,0,0,0,0.0026,,2,78,B,42.3223,-72.6313,0,,,,0,0,false,0
01061,Northampton,MA,NORTHAMPTON WATER DIVISION,MA1214000,29571,SW,0,0,0,0.0026,,2,83,B,42.3696,-72.636,0,,,,0,0,false,0
01063,Northampton,MA,NORTHAMPTON WATER DIVISION,MA1214000,29571,SW,0,0,0,0.0026,,2,83,B,42.3179,-72.6402,0,,,,0,0,false,0
01069,Palmer,MA,PALMER WATER DISTRICT NO.1,MA1227000,4789,SW,3,3,3,0.0012,2.1,2,71,B,42.1762,-72.3288,1,E. coli,,,4,2,true,0
01071,Russell,MA,RUSSELL WATER DEPT,MA1256000,1228,GW,2,0,0,0.0031,,2,82,B,42.1471,-72.8403,0,,,,3,0,true,0
01073,Southampton,MA,SOUTHAMPTON WATER DEPT,MA1276000,4853,SW,0,0,0,0.0173,1.35,2,58,C,42.2247,-72.7194,0,,,,0,0,false,0
01075,South Hadley,MA,SOUTH HADLEY FD #1 (MWRA),MA1275000,14800,SW,0,0,0,0.00458,,2,78,B,42.2375,-72.5811,0,,,,0,0,false,0
01077,Southwick,MA,SOUTHWICK WATER DEPT,MA1279000,7646,SW,0,0,0,0.0044,,2,78,B,42.0511,-72.7706,0,,,,0,0,false,0
01079,Thorndike,MA,THORNDIKE FIRE AND WATER DISTRICT,MA1227001,1435,GW,0,0,0,0.0032,,2,83,B,42.1929,-72.3296,0,,,,0,0,false,0
01080,Three Rivers,MA,THREE RIVERS FIRE DISTRICT,MA1227003,3258,GW,0,0,0,0.0017,,2,83,B,42.1819,-72.3624,0,,,,0,0,false,0
01081,Wales,MA,BROOKSIDE VILLAGE,MA1306001,80,GW,2,0,0,0.0024,,2,82,B,42.0627,-72.2046,0,,,,3,0,true,1
01082,Ware,MA,WARE WATER DEPT,MA1309000,10066,GW,0,0,0,0.004,,2,83,B,42.2618,-72.2583,0,,,,0,0,false,0
01083,Warren,MA,WARREN WATER DISTRICT,MA1311000,2289,GW,2,0,0,0.00129,,1,65,C,42.204,-72.1994,0,,,,2,0,true,0
01085,Westfield,MA,WESTFIELD DPWWATER DIVISION,MA1329000,41094,SW,4,1,0,0.0027,,2,72,B,42.1251,-72.7495,1,Consumer Confidence Report Rule,,,4,1,true,0
01086,Westfield,MA,WESTFIELD DPWWATER DIVISION,MA1329000,41094,SW,4,1,0,0.0027,,2,82,B,42.1734,-72.848,1,Consumer Confidence Report Rule,,,4,1,true,0
01089,West Springfield,MA,WEST SPRINGFIELD DPW WATER DIVISION,MA1325000,28835,GW,0,0,0,0.0016,,2,78,B,42.1151,-72.6411,0,,,,1,0,true,0
01090,West Springfield,MA,WEST SPRINGFIELD DPW WATER DIVISION,MA1325000,28835,GW,0,0,0,0.0016,,2,83,B,42.1707,-72.6048,0,,,,1,0,true,0
01092,West Warren,MA,WEST WARREN WATER DISTRICT,MA1311001,927,GW,0,0,0,0.0031,,1,70,B,42.2029,-72.229,0,,,,0,0,false,0
01093,Whately,MA,WHATELY WATER DEPARTMENT,MA1337010,900,GW,1,0,0,0.0041,,2,83,B,42.4427,-72.6525,0,,,,4,0,true,0
01094,Wheelwright,MA,WHEELWRIGHT WATER DISTRICT,MA1124002,300,GW,0,0,0,0.0053,,1,65,C,42.3582,-72.1408,0,,,,0,0,false,0
01095,Wilbraham,MA,WILBRAHAM WATER DEPT (MWRA),MA1339000,8533,SW,0,0,0,0.0093,,2,72,B,42.1245,-72.4464,0,,,,0,0,false,0
01096,Williamsburg,MA,WILLIAMSBURG WATER DEPT,MA1340000,1575,GW,0,0,0,0.0085,,2,69,C,42.4085,-72.778,0,,,,0,0,false,0
01098,Worthington,MA,WORTHINGTON FIRE DISTRICT,MA1349000,565,GW,0,0,0,0.0036,,2,83,B,42.3843,-72.9314,0,,,,0,0,false,0
01101,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.1015,-72.5898,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01102,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1707,-72.6048,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01103,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.1029,-72.5887,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01104,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1288,-72.5778,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
