zip,ccr_available,ccr_year,ccr_system_name,ccr_pwsid,ccr_contaminant_count,ccr_violations,ccr_source_type,ccr_lead_90th_ppb,ccr_copper_90th_ppb,ccr_top_contaminants
94954,True,2024,"PETALUMA, CITY OF",CA4910006,1,0,Ground Water,,,
94955,True,2024,"PETALUMA, CITY OF",CA4910006,1,0,Ground Water,,,
94975,True,2024,"PETALUMA, CITY OF",CA4910006,1,0,Ground Water,,,
94976,True,2024,MARIN MUNICIPAL WATER DISTRICT,CA2110002,0,0,Surface Water,,,
94998,True,2024,NORTH MARIN WATER DISTRICT,CA2110003,1,0,Surface Water,,,
94999,True,2024,"PETALUMA, CITY OF",CA4910006,1,0,Ground Water,,,
95020,True,2024,CITY OF GILROY,CA4310004,2,3,Ground Water,2,,Nitrate (12 ppm*)
95021,True,2024,CITY OF GILROY,CA4310004,2,3,Ground Water,2,,Nitrate (12 ppm*)
95023,True,2024,"HOLLISTER, CITY OF",CA3510001,0,0,,,,
95024,True,2024,"HOLLISTER, CITY OF",CA3510001,0,0,,,,
95035,True,2024,CITY OF MILPITAS,CA4310005,1,0,Surface Water (Purchased),,,
95036,True,2024,CITY OF MILPITAS,CA4310005,1,0,Surface Water (Purchased),,,
95037,True,2024,CITY OF MORGAN HILL,CA4310006,1,0,Ground Water,,,
95038,True,2024,CITY OF MORGAN HILL,CA4310006,1,0,Ground Water,,,
95050,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95051,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95052,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95053,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95054,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95055,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95056,True,2023,City of Santa Clara,CA4310012,42,0,"Blend of groundwater wells (20 active wells), Valley Water treated surface water, and San Francisco Public Utilities Commission Hetch Hetchy system water",,0.47,Uranium (1.3 pCi/L); Fluoride (2.6 ppm); Nitrate (as Nitrogen) (5.3 ppm); Chloride (474 ppm); Odor (2 units)
95060,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95061,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95062,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95063,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95064,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95065,True,2023,City of Santa Cruz Water Department,CA4410010,37,0,"Surface water (San Lorenzo River, Loch Lomond Reservoir, North Coast sources) and groundwater (Beltz Groundwater Wells)",,0.3,Total Trihalomethanes (TTHM) (65 μg/L); Haloacetic Acids (five) (HAA5) (39 μg/L)
95073,True,2024,SOQUEL CREEK WATER DISTRICT,CA4410017,3,1,Surface Water and Ground Water,,0.3,Fluoride (3 ppm); Nitrate (45 ppm*)
95076,True,2024,"WATSONVILLE, CITY OF",CA4410011,1,0,Surface Water,2.1,,
95077,True,2024,"WATSONVILLE, CITY OF",CA4410011,1,0,Surface Water,2.1,,
95101,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95103,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95106,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95108,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95109,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95110,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95111,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95112,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95113,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95115,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95116,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95117,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95118,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95119,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95120,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95121,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95122,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95123,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95124,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95125,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95126,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95127,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95128,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95129,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95130,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95131,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95132,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95133,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95134,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95135,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95136,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95138,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95139,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95141,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95148,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95150,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95151,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
95152,True,2024,San Jose Water Main System,CA4310011,42,0,"Mountain Surface Water, Groundwater wells, Valley Water imported surface water",0.23,0.3,Total Trihalomethanes (76.96 ppb); Haloacetic Acids (35.87 ppb); Odor - Threshold @ 60°C (1.6 TON)
