zip,ccr_available,ccr_year,ccr_system_name,ccr_pwsid,ccr_contaminant_count,ccr_violations,ccr_source_type,ccr_lead_90th_ppb,ccr_copper_90th_ppb,ccr_top_contaminants
94259,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94261,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94262,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94263,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94267,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94268,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94269,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94271,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94273,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94274,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94277,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94278,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94279,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94280,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94282,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94283,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94284,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94285,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94286,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94287,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94288,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94289,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94290,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94291,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94293,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94294,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94295,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94296,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94297,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94298,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94299,True,2024,City of Sacramento,CA3410020,35,0,"American River (80%) and Sacramento River (80%), Groundwater wells (20%)",,0.06,"Haloacetic Acids (38 μg/L); Trihalomethanes (63 μg/L); Control of DBP Precursors - TOC (1.9 mg/L); Chromium, hexavalent (7.6 μg/L); Combined Radium (4.2 pCi/L)"
94301,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94302,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94303,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94304,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94305,True,2024,STANFORD UNIVERSITY,CA4310013,1,0,Surface Water and Ground Water,,,
94306,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94309,True,2024,CITY OF PALO ALTO,CA4310009,1,0,Surface Water (Purchased),,,
94509,True,2024,CITY OF ANTIOCH,CA0710001,1,0,Surface Water,,,
94510,True,2024,CITY OF BENICIA,CA4810001,2,0,Surface Water and Ground Water,2,,
94513,True,2024,BRENTWOOD,CA0710004,1,0,Surface Water (Purchased),,,
